time,open,high,low,close,volume
2024-10-25 01:00:00,1027.4,1028.59,1017.33,1017.94,1890
2024-10-25 05:00:00,1017.88,1020.5,1010.19,1014.05,3371
2024-10-25 09:00:00,1014.07,1014.55,1002.88,1007.99,2942
2024-10-25 13:00:00,1007.85,1022.88,1005.2,1016.36,3742
2024-10-25 17:00:00,1015.69,1028.71,1015.69,1023.85,4265
2024-10-25 21:00:00,1023.85,1024.75,1021.75,1023.55,1718
2024-10-28 01:00:00,1020.22,1027.3,1018.61,1022.03,3452
2024-10-28 05:00:00,1022.08,1023.05,1015.76,1020.86,3093
2024-10-28 09:00:00,1020.75,1027.15,1016.86,1018.76,2552
2024-10-28 13:00:00,1018.66,1033.46,1015.76,1032.22,3878
2024-10-28 17:00:00,1032.61,1039.53,1028.28,1037.49,4680
2024-10-28 21:00:00,1037.34,1037.39,1032.29,1032.29,1038
2024-10-29 01:00:00,1033.24,1041.7,1032.23,1041.7,2285
2024-10-29 05:00:00,1041.56,1047.68,1041.56,1044.31,3659
2024-10-29 09:00:00,1044.55,1053.26,1041.88,1049.36,3387
2024-10-29 13:00:00,1049.26,1052.07,1044.06,1048.47,4476
2024-10-29 17:00:00,1048.49,1052.96,1044.41,1049.26,4826
2024-10-29 21:00:00,1049.36,1050.05,1047.28,1048.94,1422
2024-10-30 01:00:00,1049.85,1054.15,1049.75,1052.0,2317
2024-10-30 05:00:00,1052.0,1052.1,1045.86,1047.67,2582
2024-10-30 09:00:00,1047.72,1049.46,1032.99,1033.94,3318
2024-10-30 13:00:00,1033.84,1034.94,1010.8,1016.66,4888
2024-10-30 17:00:00,1016.76,1022.74,1012.09,1013.83,4831
2024-10-30 21:00:00,1013.83,1015.21,1011.66,1012.84,2274
2024-10-31 01:00:00,1012.8,1014.42,1006.75,1011.29,2655
2024-10-31 05:00:00,1011.24,1013.0,1004.34,1006.76,3085
2024-10-31 09:00:00,1006.75,1009.86,1000.07,1006.16,4179
2024-10-31 13:00:00,1006.05,1011.56,996.65,997.46,3351
2024-10-31 17:00:00,997.46,997.46,985.36,993.33,5105
2024-10-31 21:00:00,993.32,996.4,991.92,992.4,1485
2024-11-01 01:00:00,990.72,995.37,989.74,993.6,1498
2024-11-01 05:00:00,993.55,993.56,987.25,989.15,1667
2024-11-01 09:00:00,989.05,995.91,986.97,993.1,2537
2024-11-01 13:00:00,993.22,1006.23,990.77,1002.6,3173
2024-11-01 17:00:00,1002.8,1004.46,989.91,990.16,3901
2024-11-01 21:00:00,990.16,993.79,989.33,992.14,1335
2024-11-04 01:00:00,990.26,999.57,987.93,996.7,2211
2024-11-04 05:00:00,996.75,1001.47,996.23,1001.01,3498
2024-11-04 09:00:00,1001.25,1002.35,995.05,999.56,2783
2024-11-04 13:00:00,999.76,1002.26,986.96,990.33,3571
2024-11-04 17:00:00,990.83,993.03,979.43,981.8,3842
2024-11-04 21:00:00,982.19,985.15,981.93,983.39,1165
2024-11-05 01:00:00,983.1,985.26,979.46,982.9,2833
2024-11-05 05:00:00,982.8,987.34,982.8,985.89,5450
2024-11-05 09:00:00,986.13,996.56,986.0,995.61,3261
2024-11-05 13:00:00,995.66,1004.25,991.76,1001.16,3950
2024-11-05 17:00:00,1001.15,1002.64,994.99,997.66,4558
2024-11-05 21:00:00,997.66,1000.06,996.06,998.52,1138
2024-11-06 01:00:00,996.68,1000.2,988.24,988.66,4863
2024-11-06 05:00:00,988.72,988.8,976.0,985.02,4364
2024-11-06 09:00:00,985.06,993.3,983.96,989.3,4403
2024-11-06 13:00:00,989.2,990.4,964.67,967.62,6060
2024-11-06 17:00:00,967.65,990.22,966.22,989.67,5265
2024-11-06 21:00:00,989.72,991.42,985.37,985.48,1526
2024-11-07 01:00:00,986.59,988.11,980.68,984.83,2351
2024-11-07 05:00:00,984.93,986.18,976.93,977.88,2098
2024-11-07 09:00:00,977.91,983.79,976.66,979.65,3083
2024-11-07 13:00:00,979.65,993.53,974.35,991.19,4519
2024-11-07 17:00:00,991.29,995.51,988.39,990.49,3465
2024-11-07 21:00:00,990.52,997.62,989.05,996.44,2782
2024-11-08 01:00:00,997.82,999.76,993.51,994.05,2319
2024-11-08 05:00:00,994.0,995.25,986.19,986.24,2425
2024-11-08 09:00:00,986.37,989.3,980.07,980.41,4554
2024-11-08 13:00:00,980.5,987.56,976.76,978.05,4959
2024-11-08 17:00:00,978.02,978.56,965.32,969.9,4818
2024-11-08 21:00:00,969.79,971.35,967.91,970.82,2097
2024-11-11 01:00:00,970.45,977.66,970.45,976.05,4337
