time,open,high,low,close,volume
2025-01-06 00:00:00,949.07,949.78,946.35,948.46,4101
2025-01-06 04:00:00,946.48,947.09,944.65,946.45,947
2025-01-06 08:00:00,944.38,947.66,943.51,944.68,2452
2025-01-06 12:00:00,948.30,950.54,944.82,946.51,2542
2025-01-06 16:00:00,946.22,947.59,943.86,944.79,2325
2025-01-06 20:00:00,945.86,946.90,942.35,944.60,860
2025-01-07 00:00:00,945.20,945.89,944.33,945.01,1805
2025-01-07 04:00:00,946.98,948.71,944.72,947.26,1921
2025-01-07 08:00:00,948.25,950.85,945.84,947.08,3078
2025-01-07 12:00:00,949.90,952.59,947.04,948.40,550
2025-01-07 16:00:00,946.88,949.98,945.92,947.21,4230
2025-01-07 20:00:00,947.02,949.82,944.13,946.35,2987
2025-01-08 00:00:00,947.68,949.96,944.66,946.90,3927
2025-01-08 04:00:00,952.10,954.03,947.83,950.33,2564
2025-01-08 08:00:00,953.19,956.67,949.64,952.60,4559
2025-01-08 12:00:00,953.51,954.08,950.95,952.84,1053
2025-01-08 16:00:00,949.57,954.14,948.68,951.34,2490
2025-01-08 20:00:00,953.20,953.94,949.87,951.71,3693
2025-01-09 00:00:00,956.62,959.71,954.01,955.34,2313
2025-01-09 04:00:00,956.95,960.33,954.46,955.42,3887
2025-01-09 08:00:00,953.57,956.59,951.30,954.63,3032
2025-01-09 12:00:00,952.16,954.09,949.96,952.48,3765
2025-01-09 16:00:00,955.13,957.49,952.54,955.07,4468
2025-01-09 20:00:00,959.74,962.87,955.73,958.62,683
2025-01-10 00:00:00,957.34,961.33,956.65,958.92,2493
2025-01-10 04:00:00,956.57,959.44,955.91,957.92,1216
2025-01-10 08:00:00,954.46,955.58,953.56,955.00,1921
2025-01-10 12:00:00,954.54,956.74,953.67,955.15,1892
2025-01-10 16:00:00,959.54,961.62,958.78,959.67,3435
2025-01-10 20:00:00,958.67,962.60,957.69,959.61,3604
2025-01-11 00:00:00,963.56,964.50,961.32,963.45,2028
2025-01-11 04:00:00,966.33,969.42,961.83,964.42,562
2025-01-11 08:00:00,963.07,967.22,960.97,964.40,2881
2025-01-11 12:00:00,963.22,967.27,959.77,964.33,3744
2025-01-11 16:00:00,968.64,971.36,966.18,967.36,3473
2025-01-11 20:00:00,965.41,967.87,964.07,967.29,1441
2025-01-12 00:00:00,971.15,972.99,966.01,969.33,3244
2025-01-12 04:00:00,972.64,974.35,971.46,973.18,4872
2025-01-12 08:00:00,972.33,975.53,968.82,971.84,3658
2025-01-12 12:00:00,974.74,975.49,971.06,973.54,3251
2025-01-12 16:00:00,977.14,979.08,975.11,976.14,3802
2025-01-12 20:00:00,976.93,980.35,974.04,975.73,1036
2025-01-13 00:00:00,980.08,981.09,978.30,979.18,1509
2025-01-13 04:00:00,983.36,984.30,979.16,982.14,3959
2025-01-13 08:00:00,983.04,985.79,982.15,983.64,3377
2025-01-13 12:00:00,987.41,989.49,983.51,986.81,2506
2025-01-13 16:00:00,990.65,991.79,988.09,989.35,3673
2025-01-13 20:00:00,988.05,989.32,985.94,987.70,2066
2025-01-14 00:00:00,989.81,992.27,987.56,990.40,4325
2025-01-14 04:00:00,991.76,993.77,987.99,990.09,2823
2025-01-14 08:00:00,986.90,988.19,986.39,987.14,3321
2025-01-14 12:00:00,985.32,988.10,983.15,985.43,2442
2025-01-14 16:00:00,971.35,972.17,968.30,970.21,4068
2025-01-14 20:00:00,973.11,975.30,970.30,973.08,786
2025-01-15 00:00:00,974.37,976.39,971.89,973.92,2786
2025-01-15 04:00:00,974.88,976.81,971.42,974.74,707
2025-01-15 08:00:00,980.03,981.31,976.09,978.27,3296
2025-01-15 12:00:00,980.03,982.34,978.20,981.48,1777
2025-01-15 16:00:00,978.75,982.97,975.90,980.46,2480
2025-01-15 20:00:00,980.08,982.56,978.29,979.22,1563
2025-01-16 00:00:00,982.14,986.62,980.45,983.27,1258
2025-01-16 04:00:00,988.49,989.48,985.37,987.16,2108
2025-01-16 08:00:00,985.52,988.19,982.85,986.73,2709
